species,prompt,evaluation_seed,type
frangipani,An artistic close-up photo of a frangipani flower with natural lighting and shallow depth of field,6,other
clematis,A high-quality macro photograph of a clematis flower in full bloom,1,other
clematis,A high-quality macro photograph of a clematis flower in full bloom,2,other
clematis,A high-quality macro photograph of a clematis flower in full bloom,3,other
clematis,A high-quality macro photograph of a clematis flower in full bloom,4,other
clematis,A high-quality macro photograph of a clematis flower in full bloom,5,other
clematis,"A detailed botanical image of a clematis flower, focused on the petals and textures",0,other
clematis,"A detailed botanical image of a clematis flower, focused on the petals and textures",1,other
clematis,"A detailed botanical image of a clematis flower, focused on the petals and textures",2,other
clematis,"A detailed botanical image of a clematis flower, focused on the petals and textures",3,other
clematis,"A detailed botanical image of a clematis flower, focused on the petals and textures",4,other
clematis,A vibrant close-up of a clematis flower covered in morning dew,1,other
clematis,A vibrant close-up of a clematis flower covered in morning dew,2,other
clematis,A vibrant close-up of a clematis flower covered in morning dew,3,other
clematis,A vibrant close-up of a clematis flower covered in morning dew,4,other
clematis,A vibrant close-up of a clematis flower covered in morning dew,5,other
clematis,"A professional photograph of a single clematis flower, isolated",1,other
clematis,"A professional photograph of a single clematis flower, isolated",2,other
clematis,"A professional photograph of a single clematis flower, isolated",3,other
clematis,"A professional photograph of a single clematis flower, isolated",4,other
clematis,"A professional photograph of a single clematis flower, isolated",5,other
clematis,An artistic close-up photo of a clematis flower with natural lighting and shallow depth of field,1,other
clematis,An artistic close-up photo of a clematis flower with natural lighting and shallow depth of field,2,other
clematis,An artistic close-up photo of a clematis flower with natural lighting and shallow depth of field,3,other
clematis,An artistic close-up photo of a clematis flower with natural lighting and shallow depth of field,4,other
clematis,An artistic close-up photo of a clematis flower with natural lighting and shallow depth of field,5,other
hibiscus,A high-quality macro photograph of a hibiscus flower in full bloom,1,other
hibiscus,A high-quality macro photograph of a hibiscus flower in full bloom,2,other
hibiscus,A high-quality macro photograph of a hibiscus flower in full bloom,4,other
hibiscus,A high-quality macro photograph of a hibiscus flower in full bloom,6,other
hibiscus,A high-quality macro photograph of a hibiscus flower in full bloom,9,other
hibiscus,"A detailed botanical image of a hibiscus flower, focused on the petals and textures",2,other
hibiscus,"A detailed botanical image of a hibiscus flower, focused on the petals and textures",3,other
hibiscus,"A detailed botanical image of a hibiscus flower, focused on the petals and textures",5,other
hibiscus,"A detailed botanical image of a hibiscus flower, focused on the petals and textures",7,other
hibiscus,"A detailed botanical image of a hibiscus flower, focused on the petals and textures",10,other
hibiscus,A vibrant close-up of a hibiscus flower covered in morning dew,3,other
hibiscus,A vibrant close-up of a hibiscus flower covered in morning dew,4,other
hibiscus,A vibrant close-up of a hibiscus flower covered in morning dew,5,other
hibiscus,A vibrant close-up of a hibiscus flower covered in morning dew,8,other
hibiscus,A vibrant close-up of a hibiscus flower covered in morning dew,9,other
hibiscus,"A professional photograph of a single hibiscus flower, isolated",0,other
hibiscus,"A professional photograph of a single hibiscus flower, isolated",1,other
hibiscus,"A professional photograph of a single hibiscus flower, isolated",4,other
hibiscus,"A professional photograph of a single hibiscus flower, isolated",5,other
hibiscus,"A professional photograph of a single hibiscus flower, isolated",7,other
hibiscus,An artistic close-up photo of a hibiscus flower with natural lighting and shallow depth of field,3,other
hibiscus,An artistic close-up photo of a hibiscus flower with natural lighting and shallow depth of field,4,other
hibiscus,An artistic close-up photo of a hibiscus flower with natural lighting and shallow depth of field,6,other
hibiscus,An artistic close-up photo of a hibiscus flower with natural lighting and shallow depth of field,9,other
hibiscus,An artistic close-up photo of a hibiscus flower with natural lighting and shallow depth of field,16,other
bougainvillea,A high-quality macro photograph of a bougainvillea flower in full bloom,3,other
bougainvillea,A high-quality macro photograph of a bougainvillea flower in full bloom,5,other
bougainvillea,A high-quality macro photograph of a bougainvillea flower in full bloom,6,other
bougainvillea,A high-quality macro photograph of a bougainvillea flower in full bloom,7,other
bougainvillea,A high-quality macro photograph of a bougainvillea flower in full bloom,10,other
bougainvillea,"A detailed botanical image of a bougainvillea flower, focused on the petals and textures",0,other
bougainvillea,"A detailed botanical image of a bougainvillea flower, focused on the petals and textures",6,other
bougainvillea,"A detailed botanical image of a bougainvillea flower, focused on the petals and textures",11,other
bougainvillea,"A detailed botanical image of a bougainvillea flower, focused on the petals and textures",13,other
bougainvillea,"A detailed botanical image of a bougainvillea flower, focused on the petals and textures",16,other
bougainvillea,A vibrant close-up of a bougainvillea flower covered in morning dew,2,other
bougainvillea,A vibrant close-up of a bougainvillea flower covered in morning dew,6,other
bougainvillea,A vibrant close-up of a bougainvillea flower covered in morning dew,8,other
bougainvillea,A vibrant close-up of a bougainvillea flower covered in morning dew,9,other
bougainvillea,A vibrant close-up of a bougainvillea flower covered in morning dew,11,other
bougainvillea,"A professional photograph of a single bougainvillea flower, isolated",0,other
bougainvillea,"A professional photograph of a single bougainvillea flower, isolated",1,other
bougainvillea,"A professional photograph of a single bougainvillea flower, isolated",2,other
bougainvillea,"A professional photograph of a single bougainvillea flower, isolated",3,other
bougainvillea,"A professional photograph of a single bougainvillea flower, isolated",5,other
bougainvillea,An artistic close-up photo of a bougainvillea flower with natural lighting and shallow depth of field,0,other
bougainvillea,An artistic close-up photo of a bougainvillea flower with natural lighting and shallow depth of field,1,other
bougainvillea,An artistic close-up photo of a bougainvillea flower with natural lighting and shallow depth of field,2,other
bougainvillea,An artistic close-up photo of a bougainvillea flower with natural lighting and shallow depth of field,3,other
bougainvillea,An artistic close-up photo of a bougainvillea flower with natural lighting and shallow depth of field,4,other
camellia,A high-quality macro photograph of a camellia flower in full bloom,0,other
camellia,A high-quality macro photograph of a camellia flower in full bloom,1,other
camellia,A high-quality macro photograph of a camellia flower in full bloom,2,other
camellia,A high-quality macro photograph of a camellia flower in full bloom,3,other
camellia,A high-quality macro photograph of a camellia flower in full bloom,4,other
camellia,"A detailed botanical image of a camellia flower, focused on the petals and textures",0,other
camellia,"A detailed botanical image of a camellia flower, focused on the petals and textures",1,other
camellia,"A detailed botanical image of a camellia flower, focused on the petals and textures",2,other
camellia,"A detailed botanical image of a camellia flower, focused on the petals and textures",3,other
camellia,"A detailed botanical image of a camellia flower, focused on the petals and textures",4,other
camellia,A vibrant close-up of a camellia flower covered in morning dew,0,other
camellia,A vibrant close-up of a camellia flower covered in morning dew,3,other
camellia,A vibrant close-up of a camellia flower covered in morning dew,4,other
camellia,A vibrant close-up of a camellia flower covered in morning dew,8,other
camellia,A vibrant close-up of a camellia flower covered in morning dew,14,other
camellia,"A professional photograph of a single camellia flower, isolated",4,other
camellia,"A professional photograph of a single camellia flower, isolated",5,other
camellia,"A professional photograph of a single camellia flower, isolated",7,other
camellia,"A professional photograph of a single camellia flower, isolated",8,other
camellia,"A professional photograph of a single camellia flower, isolated",10,other
camellia,An artistic close-up photo of a camellia flower with natural lighting and shallow depth of field,0,other
camellia,An artistic close-up photo of a camellia flower with natural lighting and shallow depth of field,1,other
camellia,An artistic close-up photo of a camellia flower with natural lighting and shallow depth of field,2,other
camellia,An artistic close-up photo of a camellia flower with natural lighting and shallow depth of field,3,other
camellia,An artistic close-up photo of a camellia flower with natural lighting and shallow depth of field,4,other
